Financial Year,Quarter Ending,HSC Trust,Hospital,Programme of Care,Specialty,Total Available Beds,Average Available Beds,Total Occupied Beds,Average Occupied Beds,Total Inpatients,Total Day Case,Elective Inpatient,Non Elective Inpatient,Day Case,Regular Attenders
2006-2007,30-Jun-06,Belfast,Forster Green,Mental Health,Child & Adolescent Psychiatry,"1,820",5,859,2.4,10,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Knockbracken,Elderly Care,Old Age Psychiatry,"12,740",34.9,"11,100",30.4,11,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Knockbracken,Mental Health,Forensic Psychiatry,"3,094",8.5,"1,659",4.5,1,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Knockbracken,Mental Health,Mental Illness,"13,923",38.1,"12,948",35.5,64,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Malone Place,Mental Health,Psychotherapy,"1,092",3,351,1,27,67,0,0,0,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,Cardiology,"2,525",6.9,"2,503",6.9,337,22,10,327,22,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,Ear Nose Throat,0,0,0,0,0,33,0,0,33,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,General Medicine,"10,059",27.6,"9,453",25.9,934,422,50,884,422,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,General Surgery,"5,027",13.8,"3,750",10.3,563,231,231,332,231,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,Gynaecology,480,1.3,376,1,205,44,137,68,44,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,Ophthalmology,9,0,9,0,10,584,9,1,584,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,Oral Surgery,0,0,0,0,0,158,0,0,158,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,Pain Management,0,0,0,0,0,108,0,0,108,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Acute Services,Urology,899,2.5,563,1.5,108,228,85,23,228,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Maternity & Child Health,Obstetrics,"2,038",5.6,"1,011",2.8,347,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Maternity & Child Health,Well Babies Obs,682,1.9,682,1.9,256,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Maternity & Child Health,Well Babies Paed,12,0,12,0,9,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Mater Infirmorum,Mental Health,Mental Illness,"5,334",14.6,"5,239",14.4,134,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Muckamore Abbey,Learning Disability,Learning Disability,"28,938",79.3,"24,669",67.6,25,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Musgrave Park,Acute Services,Rehabilitation,"3,518",9.6,"2,394",6.6,42,0,22,20,0,0
2006-2007,30-Jun-06,Belfast,Musgrave Park,Acute Services,Rheumatology,"1,955",5.4,"1,491",4.1,145,"1,253",131,14,"1,252",1
2006-2007,30-Jun-06,Belfast,Musgrave Park,Acute Services,Trauma & Orthopaedics Surgery,"11,263",30.9,"8,447",23.1,"1,481",583,"1,419",62,583,0
2006-2007,30-Jun-06,Belfast,Musgrave Park,Elderly Care,Geriatric Medicine,"6,252",17.1,"5,022",13.8,120,1,0,0,0,0
2006-2007,30-Jun-06,Belfast,NI Cancer Centre,Acute Services,Clinical Oncology,"4,724",12.9,"4,724",12.9,563,4,494,69,4,0
2006-2007,30-Jun-06,Belfast,NI Cancer Centre,Acute Services,Medical Oncology,"2,884",7.9,"1,015",2.8,233,1,194,39,1,0
2006-2007,30-Jun-06,Belfast,RBHSC,Acute Services,Anaesthetics,655,1.8,406,1.1,14,0,0,14,0,0
2006-2007,30-Jun-06,Belfast,RBHSC,Acute Services,Paediatrics,"9,004",24.7,"6,538",17.9,"1,788","1,113",422,"1,366","1,113",0
2006-2007,30-Jun-06,Belfast,Royal Maternity,Acute Services,Gynaecology,0,0,0,0,0,2,0,0,2,0
2006-2007,30-Jun-06,Belfast,Royal Maternity,Acute Services,Paediatrics,"4,095",11.2,"2,375",6.5,"1,318",0,0,"1,318",0,0
2006-2007,30-Jun-06,Belfast,Royal Maternity,Maternity & Child Health,Obstetrics,"6,886",18.9,"5,400",14.8,"1,568",286,0,0,0,0
2006-2007,30-Jun-06,Belfast,Royal Maternity,Maternity & Child Health,Well Babies Paed,"4,938",13.5,"2,998",8.2,"1,146",0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Anaesthetics,"2,077",5.7,"2,012",5.5,44,0,3,41,0,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Cardiac Surgery,"3,660",10,"2,856",7.8,239,0,205,34,0,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Cardiology,"5,302",14.5,"4,082",11.2,751,420,438,313,420,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Dermatology,0,0,0,0,1,47,0,1,47,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Ear Nose Throat,"1,959",5.4,"1,455",4,592,146,551,41,146,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Endocrinology,"1,315",3.6,"1,157",3.2,147,52,71,76,52,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Gastroenterology,11,0,11,0,3,489,3,0,489,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,General Medicine,"10,723",29.4,"9,881",27.1,"1,372",304,137,"1,235",304,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,General Surgery,"10,567",29,"9,062",24.8,"1,269",366,575,694,366,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Genito-Urinary Medicine,35,0.1,35,0.1,6,0,0,6,0,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Gynaecology,"1,436",3.9,928,2.5,448,499,149,299,499,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Infectious Diseases,229,0.6,87,0.2,0,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Joint Consultant Clinics,0,0,0,0,1,0,0,1,0,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Neurology,"2,207",6,"2,171",5.9,192,138,81,111,138,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Neurosurgery,"3,493",9.6,"3,405",9.3,283,0,102,181,0,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Ophthalmology,"1,549",4.2,990,2.7,624,"2,251",565,59,"2,251",0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Oral Surgery,275,0.8,275,0.8,87,77,36,51,77,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Plastic Surgery,894,2.4,498,1.4,44,68,26,18,68,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Radiology,0,0,0,0,0,25,0,0,25,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Rheumatology,0,0,0,0,0,290,0,0,290,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Thoracic Surgery,"1,928",5.3,"1,618",4.4,237,99,162,75,99,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Trauma & Orthopaedics Surgery,"9,426",25.8,"9,329",25.6,910,82,44,866,82,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Acute Services,Urology,0,0,0,0,0,32,0,0,32,0
2006-2007,30-Jun-06,Belfast,Royal Victoria,Elderly Care,Geriatric Medicine,"9,958",27.3,"8,735",23.9,474,0,0,0,0,0
2006-2007,30-Jun-06,Belfast,Windsor House,Mental Health,Mental Illness,"3,448",9.4,"3,446",9.4,68,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Accident & Emergency,"2,159",5.9,462,1.3,333,0,1,332,0,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Anaesthetics,0,0,0,0,18,0,1,17,0,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Cardiology,"3,472",9.5,"3,297",9,465,33,12,453,33,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Clinical Oncology,0,0,0,0,0,164,0,0,164,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Dermatology,16,0,16,0,1,0,0,1,0,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Ear Nose Throat,"1,104",3,790,2.2,364,135,265,99,135,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Gastroenterology,315,0.9,315,0.9,64,364,21,43,363,1
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,General Medicine,"12,010",32.9,"11,757",32.2,"1,172",39,23,"1,149",39,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,General Practice Other,0,0,0,0,0,67,0,0,67,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,General Surgery,"5,344",14.6,"4,116",11.3,885,714,242,643,714,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Gynaecology,"1,208",3.3,"1,054",2.9,325,152,177,148,152,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Haematology Clinical,231,0.6,211,0.6,22,137,3,19,137,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Infectious Diseases,385,1.1,278,0.8,156,0,4,152,0,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Medical Oncology,0,0,0,0,1,297,0,1,297,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Nephrology,"2,028",5.6,"1,215",3.3,508,"3,819",495,13,3,"3,816"
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Oral Surgery,0,0,0,0,0,34,0,0,34,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Paediatrics,"2,989",8.2,"2,100",5.8,749,0,13,736,0,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Pain Management,769,2.1,700,1.9,2,80,2,0,80,0
2006-2007,30-Jun-06,Northern,Antrim,Acute Services,Rheumatology,779,2.1,96,0.3,14,23,6,8,23,0
2006-2007,30-Jun-06,Northern,Antrim,Maternity & Child Health,Obstetrics,"3,901",10.7,"2,962",8.1,710,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Antrim,Maternity & Child Health,Well Babies Obs,"3,323",9.1,"1,577",4.3,532,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Braid Valley,Acute Services,General Surgery,91,0.2,91,0.2,0,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Braid Valley,Acute Services,Palliative Medicine,307,0.8,260,0.7,10,0,0,10,0,0
2006-2007,30-Jun-06,Northern,Braid Valley,Elderly Care,Geriatric Medicine,"6,192",17,"5,705",15.6,71,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,991,0,0,0,0,0,9,0,0,9,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Cardiology,"1,117",3.1,"1,117",3.1,322,9,3,319,9,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Dermatology,90,0.2,63,0.2,12,53,8,4,53,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Ear Nose Throat,0,0,0,0,0,52,0,0,52,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,General Medicine,"9,002",24.7,"8,610",23.6,595,344,39,556,344,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,General Practice Other,0,0,0,0,0,124,0,0,124,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,General Surgery,"4,578",12.5,"3,576",9.8,711,516,216,495,516,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Gynaecology,696,1.9,589,1.6,192,141,96,96,141,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Haematology,0,0,0,0,0,23,0,0,23,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Other,0,0,0,0,6,0,0,6,0,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Paediatrics,846,2.3,509,1.4,290,1,16,274,1,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Pain Management,0,0,0,0,0,114,0,0,114,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Rheumatology,0,0,0,0,2,0,0,2,0,0
2006-2007,30-Jun-06,Northern,Causeway,Acute Services,Urology,377,1,377,1,151,142,130,21,142,0
2006-2007,30-Jun-06,Northern,Causeway,Elderly Care,Old Age Psychiatry,659,1.8,659,1.8,7,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Causeway,Maternity & Child Health,Obstetrics,"1,989",5.4,"1,208",3.3,396,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Causeway,Maternity & Child Health,Well Babies Obs,"1,427",3.9,787,2.2,295,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Causeway,Mental Health,Mental Illness,"2,712",7.4,"2,712",7.4,98,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Dalriada,Acute Services,General Practice Other,"2,912",8,"2,516",6.9,111,0,83,28,0,0
2006-2007,30-Jun-06,Northern,Holywell,Elderly Care,Old Age Psychiatry,"6,552",18,"6,330",17.3,18,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Holywell,Mental Health,Mental Illness,"14,651",40.1,"14,632",40.1,176,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,Ear Nose Throat,1,0,1,0,2,37,2,0,37,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,General Medicine,"8,909",24.4,"8,719",23.9,628,137,14,614,137,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,General Practice Other,0,0,0,0,0,41,0,0,41,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,General Surgery,"2,728",7.5,"1,761",4.8,312,356,62,250,356,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,Gynaecology,303,0.8,223,0.6,105,95,61,44,95,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,Haematology Clinical,0,0,0,0,0,4,0,0,4,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,Oral Surgery,0,0,0,0,0,21,0,0,21,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Acute Services,Paediatrics,819,2.2,2,0,0,2,0,0,2,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Maternity & Child Health,Obstetrics,"1,454",4,713,2,229,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Mid Ulster,Maternity & Child Health,Well Babies Obs,"1,820",5,531,1.5,175,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Moyle,Acute Services,General Medicine,407,1.1,407,1.1,4,0,0,4,0,0
2006-2007,30-Jun-06,Northern,Moyle,Acute Services,Palliative Medicine,207,0.6,140,0.4,7,0,0,7,0,0
2006-2007,30-Jun-06,Northern,Moyle,Elderly Care,Geriatric Medicine,"3,481",9.5,"2,955",8.1,56,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Robinson Memorial,Acute Services,General Practice Other,"2,275",6.2,"2,075",5.7,34,0,6,28,0,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,Cardiology,"1,380",3.8,"1,137",3.1,164,13,2,162,13,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,Dermatology,278,0.8,67,0.2,6,19,3,3,19,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,Ear Nose Throat,0,0,0,0,0,28,0,0,28,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,Gastroenterology,19,0.1,19,0.1,7,411,4,3,411,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,General Medicine,"5,070",13.9,"4,394",12,447,10,3,444,10,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,General Surgery,"2,002",5.5,"1,643",4.5,267,502,87,180,502,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,Gynaecology,28,0.1,28,0.1,14,106,13,1,106,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Acute Services,Pain Management,0,0,0,0,0,21,0,0,21,0
2006-2007,30-Jun-06,Northern,Whiteabbey,Elderly Care,Geriatric Medicine,"5,783",15.8,"5,222",14.3,142,0,0,0,0,0
2006-2007,30-Jun-06,Northern,Whiteabbey PNU,Mental Health,Mental Illness,"1,729",4.7,"1,872",5.1,26,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Ards,Acute Services,General Medicine,0,0,0,0,0,101,0,0,101,0
2006-2007,30-Jun-06,South Eastern,Ards,Acute Services,General Practice Other,"1,820",5,"1,501",4.1,112,0,2,110,0,0
2006-2007,30-Jun-06,South Eastern,Ards,Acute Services,General Surgery,0,0,0,0,1,"1,105",1,0,"1,105",0
2006-2007,30-Jun-06,South Eastern,Ards,Acute Services,Gynaecology,0,0,0,0,3,266,3,0,266,0
2006-2007,30-Jun-06,South Eastern,Ards,Acute Services,Plastic Surgery,0,0,0,0,0,19,0,0,19,0
2006-2007,30-Jun-06,South Eastern,Ards,Mental Health,Mental Illness,"2,272",6.2,"2,272",6.2,22,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Bangor,Acute Services,General Practice Other,"1,811",5,"1,620",4.4,126,0,3,123,0,0
2006-2007,30-Jun-06,South Eastern,Downe,Acute Services,991,0,0,0,0,0,2,0,0,2,0
2006-2007,30-Jun-06,South Eastern,Downe,Acute Services,Ear Nose Throat,0,0,0,0,0,19,0,0,19,0
2006-2007,30-Jun-06,South Eastern,Downe,Acute Services,General Medicine,"4,849",13.3,"4,293",11.8,665,122,3,662,122,0
2006-2007,30-Jun-06,South Eastern,Downe,Acute Services,General Practice Other,0,0,0,0,0,82,0,0,82,0
2006-2007,30-Jun-06,South Eastern,Downe,Acute Services,General Surgery,162,0.4,81,0.2,52,242,1,51,242,0
2006-2007,30-Jun-06,South Eastern,Downe,Acute Services,Gynaecology,0,0,0,0,0,91,0,0,91,0
2006-2007,30-Jun-06,South Eastern,Downe,Elderly Care,Geriatric Medicine,"1,330",3.6,"1,249",3.4,19,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Downshire,Elderly Care,Old Age Psychiatry,"5,187",14.2,"5,221",14.3,26,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Downshire,Mental Health,Mental Illness,"8,827",24.2,"8,935",24.5,97,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,991,0,0,0,0,0,39,0,0,39,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,Ear Nose Throat,0,0,0,0,0,32,0,0,32,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,Gastroenterology,0,0,0,0,0,1,0,0,1,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,General Medicine,"6,614",18.1,"6,122",16.8,750,371,24,726,371,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,General Practice Other,0,0,0,0,0,80,0,0,80,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,General Surgery,"1,449",4,"1,074",2.9,211,520,150,61,520,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,Gynaecology,586,1.6,376,1,148,117,102,46,117,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,Ophthalmology,17,0,17,0,17,177,17,0,177,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,Paediatrics,273,0.7,3,0,9,0,0,9,0,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Acute Services,Urology,0,0,0,0,0,80,0,0,80,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Elderly Care,Geriatric Medicine,"2,537",7,"2,143",5.9,88,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Maternity & Child Health,Obstetrics,"2,187",6,891,2.4,353,12,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley,Maternity & Child Health,Well Babies Paed,"1,093",3,569,1.6,280,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley PNU,Elderly Care,Old Age Psychiatry,"1,365",3.7,"1,473",4,19,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Lagan Valley PNU,Mental Health,Mental Illness,"2,275",6.2,"2,539",7,69,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Thompson House,Acute Services,Neurology,"3,185",8.7,"2,788",7.6,58,0,57,1,0,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Anaesthetics,968,2.7,722,2,25,0,0,25,0,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Cardiology,"2,623",7.2,"2,423",6.6,428,8,47,381,8,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Clinical Oncology,0,0,0,0,0,570,0,0,570,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Dermatology,0,0,0,0,0,442,0,0,442,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Ear Nose Throat,360,1,110,0.3,120,103,105,15,103,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,General Medicine,"12,758",35,"12,257",33.6,"1,461",384,98,"1,363",384,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,General Practice Other,0,0,0,0,0,266,0,0,266,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,General Surgery,"6,615",18.1,"5,414",14.8,911,217,297,614,217,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Gynaecology,"1,537",4.2,931,2.6,295,36,170,125,36,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Haematology Clinical,610,1.7,551,1.5,62,310,15,47,310,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Nephrology,94,0.3,94,0.3,17,"1,637",9,8,3,"1,634"
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Oral Surgery,322,0.9,322,0.9,145,44,80,65,44,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Paediatric Surgery,180,0.5,1,0,3,193,1,2,193,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Paediatrics,"3,207",8.8,"2,136",5.9,"1,016",54,22,994,54,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Pain Management,0,0,0,0,0,113,0,0,113,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Plastic Surgery,"2,664",7.3,"2,045",5.6,589,342,168,421,342,0
2006-2007,30-Jun-06,South Eastern,Ulster,Acute Services,Trauma & Orthopaedics Surgery,"4,833",13.2,"4,289",11.8,515,40,93,422,40,0
2006-2007,30-Jun-06,South Eastern,Ulster,Elderly Care,Geriatric Medicine,"9,775",26.8,"9,654",26.4,334,142,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Ulster,Maternity & Child Health,Obstetrics,"3,597",9.9,"2,384",6.5,842,0,0,0,0,0
2006-2007,30-Jun-06,South Eastern,Ulster,Maternity & Child Health,Well Babies Obs,"2,677",7.3,"1,280",3.5,617,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Banbridge,Acute Services,Rheumatology,0,0,0,0,0,46,0,0,46,0
2006-2007,30-Jun-06,Southern,Bluestone,Elderly Care,Old Age Psychiatry,"1,820",5,"1,325",3.6,37,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Bluestone,Mental Health,Child & Adolescent Psychiatry,0,0,181,0.5,3,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Bluestone,Mental Health,Mental Illness,"5,460",15,"5,037",13.8,247,0,0,0,0,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Accident & Emergency,546,1.5,296,0.8,275,0,1,274,0,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Anaesthetics,581,1.6,495,1.4,29,2,3,26,2,0
2006-2007,30-Jun-06,Southern,Craigavon Area,Acute Services,Cardiology,"2,638",7.2,"2,300",6.3,442,243,43,399,243,0
